A_id	B_id	label	select	user_id
6	2	anger	B	1224959205
4	1	anger	A	1224959205
6	3	anger	A	1224959205
8	9	anger	B	1224959205
5	7	anger	B	1224959205
9	6	anger	B	1224959205
6	4	anger	A	1224959205
2	5	anger	A	1224959205
4	7	anger	B	1224959205
8	5	anger	B	1227911534
9	2	anger	B	1227911534
3	4	anger	A	1227911534
7	6	anger	B	1227911534
8	2	anger	B	1227911534
5	4	anger	B	1227911534
2	7	anger	A	1227911534
4	1	anger	B	1227911534
7	4	anger	B	1227911534
4	5	anger	A	1227911534
3	4	anger	A	1227911534
2	9	anger	A	1227911534
9	8	anger	A	1227911534
9	3	anger	B	1227911534
6	7	anger	A	1227911534
7	4	sad	A	1227823615
4	1	sad	B	1227823615
8	4	sad	A	1227823615
2	8	sad	B	1227823615
2	8	sad	B	1227823615
5	3	sad	A	1227823615
1	8	sad	B	1227823615
3	6	sad	B	1227823615
8	4	sad	A	1227823615
1	9	sad	A	1227823615
8	9	sad	A	1227823615
9	4	sad	B	1227823615
5	9	sad	A	1227823615
3	2	sad	B	1227823615
8	6	sad	A	1227823615
1	4	sad	B	1228139294
5	8	sad	B	1228139294
4	2	sad	A	1228139294
2	4	sad	B	1228139294
4	3	sad	A	1228139294
6	3	sad	A	1228139294
6	7	sad	B	1228139294
4	8	sad	B	1228139294
4	6	sad	B	1228139294
7	6	sad	A	1228139294
9	6	sad	B	1228139294
3	4	sad	B	1228139294
3	1	sad	B	1228139294
6	3	sad	A	1228139294
6	3	sad	A	1228139294
1	8	sad	B	1227015062
1	2	sad	A	1227015062
8	6	sad	B	1227015062
9	4	sad	B	1227015062
2	4	sad	A	1227015062
3	2	sad	A	1227015062
5	8	sad	B	1227015062
7	8	sad	A	1227015062
9	6	sad	B	1227015062
7	2	sad	A	1227015062
7	8	sad	B	1227015062
9	1	sad	B	1227015062
6	9	sad	B	1227015062
8	3	sad	B	1227015062
1	2	sad	A	1227015062
9	7	sad	A	1227685075
6	2	sad	B	1227685075
6	8	sad	A	1227685075
4	8	sad	A	1227685075
6	8	sad	A	1227685075
7	5	sad	A	1227685075
9	5	sad	A	1227685075
7	5	sad	A	1227685075
1	5	sad	A	1227685075
8	5	sad	A	1227685075
7	2	sad	B	1227685075
8	1	sad	B	1227685075
3	7	sad	A	1227685075
2	8	sad	A	1227685075
9	1	sad	A	1227685075
5	6	sad	A	1227981529
2	3	sad	B	1227981529
6	1	sad	B	1227981529
2	3	sad	B	1227981529
8	3	sad	A	1227981529
2	1	sad	B	1227981529
8	7	sad	A	1227981529
2	3	sad	B	1227981529
6	3	sad	B	1227981529
1	8	sad	A	1227981529
3	4	sad	A	1227981529
7	5	sad	B	1227981529
8	4	sad	A	1227981529
2	8	sad	B	1227981529
9	4	sad	A	1227981529
9	3	sad	B	1225370145
3	7	sad	A	1225370145
5	4	sad	B	1225370145
3	4	sad	A	1225370145
6	5	sad	A	1225370145
7	5	sad	A	1225370145
7	2	sad	B	1225370145
6	7	sad	B	1225370145
8	4	sad	A	1225370145
9	7	sad	A	1225370145
1	5	sad	A	1225370145
4	6	sad	A	1225370145
9	4	sad	A	1225370145
8	6	sad	A	1225370145
1	7	sad	A	1225370145
9	7	sad	B	1227637559
5	4	sad	A	1227637559
3	5	sad	B	1227637559
4	9	sad	B	1227637559
9	3	sad	B	1227637559
7	1	sad	B	1227637559
7	9	sad	A	1227637559
9	3	sad	B	1227637559
1	3	sad	A	1227637559
2	7	sad	B	1227637559
4	8	sad	B	1227637559
8	9	sad	A	1227637559
1	9	sad	A	1227637559
2	9	sad	A	1227637559
8	2	sad	A	1227637559
5	8	sad	B	1227366581
4	3	sad	A	1227366581
1	9	sad	B	1227366581
1	4	sad	B	1227366581
4	1	sad	B	1227366581
1	7	sad	A	1227366581
7	4	sad	B	1227366581
5	6	sad	A	1227366581
5	4	sad	B	1227366581
6	2	sad	B	1227366581
1	9	sad	B	1227366581
5	3	sad	B	1227366581
2	7	sad	A	1227366581
5	7	sad	A	1227366581
6	4	sad	B	1227366581
4	2	sad	B	1228222300
7	6	sad	A	1228222300
5	3	sad	B	1228222300
6	1	sad	B	1228222300
1	7	sad	A	1228222300
4	6	sad	B	1228222300
8	6	sad	A	1228222300
7	9	sad	A	1228222300
1	3	sad	A	1228222300
4	3	sad	B	1228222300
1	4	sad	A	1228222300
9	3	sad	B	1228222300
9	2	sad	B	1228222300
2	6	sad	A	1228222300
6	1	sad	B	1228222300
4	1	sad	B	1228192798
8	9	sad	A	1228192798
6	9	sad	A	1228192798
1	7	sad	A	1228192798
2	3	sad	A	1228192798
3	8	sad	B	1228192798
9	2	sad	B	1228192798
4	6	sad	B	1228192798
2	3	sad	A	1228192798
1	4	sad	A	1228192798
2	5	sad	A	1228192798
8	2	sad	A	1228192798
8	2	sad	A	1228192798
3	5	sad	A	1228192798
5	9	sad	B	1228192798
8	3	sad	A	1227229395
8	4	sad	A	1227229395
4	1	sad	B	1227229395
3	1	sad	A	1227229395
1	9	sad	A	1227229395
6	3	sad	B	1227229395
9	6	sad	A	1227229395
4	7	sad	B	1227229395
5	6	sad	B	1227229395
2	1	sad	A	1227229395
8	9	sad	A	1227229395
9	2	sad	B	1227229395
6	4	sad	B	1227229395
4	2	sad	B	1227229395
2	8	sad	A	1227229395
3	6	sad	A	1225134616
9	2	sad	B	1225134616
4	2	sad	B	1225134616
7	4	sad	A	1225134616
5	8	sad	B	1225134616
6	8	sad	B	1225134616
4	8	sad	B	1225134616
2	4	sad	A	1225134616
3	2	sad	B	1225134616
6	7	sad	B	1225134616
3	7	sad	A	1225134616
9	7	sad	B	1225134616
9	3	sad	B	1225134616
2	4	sad	A	1225134616
6	2	sad	B	1225134616
3	4	sad	A	1225457325
8	2	sad	B	1225457325
2	5	sad	A	1225457325
9	5	sad	A	1225457325
6	9	sad	A	1225457325
1	4	sad	B	1225457325
2	8	sad	A	1225457325
6	7	sad	A	1225457325
3	2	sad	A	1225457325
6	5	sad	A	1225457325
8	9	sad	B	1225457325
5	8	sad	B	1225457325
4	9	sad	B	1225457325
2	5	sad	A	1225457325
5	9	sad	B	1225457325
8	6	sad	A	1228149471
9	2	sad	B	1228149471
8	4	sad	A	1228149471
9	6	sad	A	1228149471
9	7	sad	A	1228149471
8	5	sad	A	1228149471
2	4	sad	A	1228149471
